Date,USD,CRUDE,GOLD
02-Nov-15,65.56099792,3044.756038,2646.833064
03-Nov-15,65.56899793,3094.240443,2624.079604
04-Nov-15,65.60900145,3122.300536,2592.224881
05-Nov-15,65.86000021,3051.335119,2581.717823
06-Nov-15,66.13999827,2983.014098,2566.814173
09-Nov-15,66.47500151,2960.769208,2569.775838
10-Nov-15,66.20000079,2941.80341,2562.440263
11-Nov-15,66.0700017,2899.575479,2550.636511
12-Nov-15,66.05500175,2807.477323,2537.839182
13-Nov-15,66.05899875,2747.068379,2540.908629
16-Nov-15,65.88600101,2720.476083,2555.055049
17-Nov-15,65.9810009,2741.896335,2519.405723
18-Nov-15,66.03300078,2726.358987,2509.334725
19-Nov-15,66.09000057,2724.235882,2525.883996
20-Nov-15,66.05799945,2793.100289,2535.824866
23-Nov-15,66.39500046,2781.402157,2516.419638
24-Nov-15,66.26200021,2850.853099,2527.460862
25-Nov-15,66.36800181,2831.09264,2522.087178
26-Nov-15,66.56499972,2872.913785,2531.094496
27-Nov-15,66.90700107,2836.640502,2516.96434
30-Nov-15,66.46199916,2822.835375,2507.912464
01-Dec-15,66.43400151,2794.364891,2533.486356
02-Dec-15,66.59100153,2758.769056,2519.367639
03-Dec-15,66.79000108,2734.007017,2507.409395
04-Dec-15,66.64299952,2740.659491,2545.183368
07-Dec-15,66.77300044,2604.183772,2562.880267
08-Dec-15,66.85699963,2529.233087,2548.355037
09-Dec-15,66.85500166,2554.120004,2558.873277
10-Dec-15,66.75599955,2487.562306,2546.330483
11-Dec-15,67.14800145,2439.119096,2546.395323
14-Dec-15,67.09299794,2402.587656,2548.290097
15-Dec-15,66.86299872,2479.750596,2530.185108
16-Dec-15,66.4760002,2455.636306,2535.638398
17-Dec-15,66.42100195,2359.493929,2503.298095
18-Dec-15,66.25499786,2369.84846,2499.718782
21-Dec-15,66.25099907,2390.704373,2525.609682
22-Dec-15,66.24399904,2415.422607,2531.991715
23-Dec-15,66.03699947,2474.516081,2515.191758
24-Dec-15,65.94700024,2519.013332,2517.401538
28-Dec-15,66.13700187,2474.302809,2515.22339
29-Dec-15,66.23499993,2496.313906,2519.951718
30-Dec-15,66.47500151,2462.83106,2509.120654
31-Dec-15,66.20799971,2456.284298,2493.063052
01-Jan-16,66.23499993,2483.568794,2497.090889
04-Jan-16,66.57899988,2504.76255,2531.491757
05-Jan-16,66.48099853,2445.324947,2541.03776
06-Jan-16,66.69800139,2350.548065,2563.484699
07-Jan-16,66.89100125,2229.599418,2598.610783
08-Jan-16,66.84700205,2247.157121,2593.811684
11-Jan-16,66.7600016,2173.536165,2599.056542
12-Jan-16,66.94600109,2091.430424,2578.575646
13-Jan-16,66.9169987,2080.837705,2562.151387
14-Jan-16,67.3160013,2100.120202,2585.997342
15-Jan-16,67.77500028,2032.118534,2597.240691
18-Jan-16,67.66099918,1993.404825,2604.112414
19-Jan-16,67.73400099,2031.347819,2597.652242
20-Jan-16,67.95800005,1965.147618,2635.414169
21-Jan-16,67.79900037,1971.538552,2633.096442
22-Jan-16,67.54900072,2122.229058,2617.999796
25-Jan-16,67.75500171,2144.235846,2635.96297
27-Jan-16,68.14400136,2142.420115,2674.705047
28-Jan-16,68.05300158,2266.028143,2675.921788
29-Jan-16,67.87799934,2298.594158,2661.818608
01-Feb-16,67.83499788,2223.19078,2684.765566
02-Feb-16,67.97499961,2094.783032,2696.079092
03-Feb-16,67.93399804,2104.858986,2713.188811
04-Feb-16,67.54400019,2217.386314,2732.501742
05-Feb-16,67.81000207,2163.663881,2744.22204
08-Feb-16,68.0340004,2081.865024,2805.844012
09-Feb-16,67.90099817,2038.238088,2836.557554
10-Feb-16,67.86100221,1934.222753,2820.26189
11-Feb-16,68.47100079,1854.077791,2937.211235
12-Feb-16,68.11799781,1940.911717,2953.363438
15-Feb-16,68.13100175,2041.45009,2879.47939
16-Feb-16,68.47400141,2069.609012,2881.860991
17-Feb-16,68.32900196,2071.865225,2888.103325
18-Feb-16,68.5419986,2170.342399,2896.963692
19-Feb-16,68.54500075,2127.523793,2946.92297
22-Feb-16,68.5329984,2296.153399,2898.517119
23-Feb-16,68.5609979,2262.127163,2924.344289
24-Feb-16,68.43100034,2167.478301,2959.420427
25-Feb-16,68.76800131,2208.712256,2962.989301
26-Feb-16,68.73700226,2334.160178,2949.678485
29-Feb-16,68.2079992,2283.960505,2958.562375
01-Mar-16,67.7530002,2333.139001,2955.632993
02-Mar-16,67.39499994,2326.405283,2922.088358
03-Mar-16,67.12199994,2349.019427,2942.985541
04-Mar-16,66.93800209,2368.617642,2980.021933
07-Mar-16,66.98899987,2498.771769,2980.545976
08-Mar-16,67.31300162,2536.735694,3000.066001
09-Mar-16,67.12800162,2526.836523,2955.353475
10-Mar-16,67.30200205,2555.26358,2949.800299
11-Mar-16,66.92100217,2603.365329,2971.494454
14-Mar-16,67.13799779,2525.954557,2941.072668
15-Mar-16,67.37200212,2467.007209,2905.751936
16-Mar-16,67.17299882,2534.064194,2904.123274
17-Mar-16,66.61899855,2646.543347,2948.13059
18-Mar-16,66.38399917,2729.896748,2923.891114
21-Mar-16,66.49999993,2750.425529,2896.678379
22-Mar-16,66.75500133,2770.408198,2915.400897
23-Mar-16,66.93000052,2731.048035,2874.504867
24-Mar-16,66.91600014,2629.850948,2863.639227
28-Mar-16,66.60799834,2654.666726,2846.326815
29-Mar-16,66.37500163,2586.353109,2857.542913
30-Mar-16,66.37500163,2597.901551,2866.882065
31-Mar-16,66.25499786,2552.236677,2863.549025
01-Apr-16,66.36499793,2501.867664,2860.297357
04-Apr-16,66.10599965,2438.993447,2838.127404
05-Apr-16,66.42199902,2380.255784,2875.347917
06-Apr-16,66.51699898,2487.833694,2870.643081
07-Apr-16,66.75699779,2507.388807,2893.995827
08-Apr-16,66.55100103,2608.952059,2898.105508
11-Apr-16,66.28700124,2667.577006,2927.391899
12-Apr-16,66.28299858,2731.64143,2936.848937
13-Apr-16,66.49599804,2784.894631,2916.991182
14-Apr-16,66.59700176,2794.614265,2890.490863
15-Apr-16,66.66000067,2700.897688,2891.301519
18-Apr-16,66.4159994,2630.240863,2906.824643
19-Apr-16,66.14999989,2758.721139,2928.129072
20-Apr-16,66.16600176,2824.415885,2929.312754
21-Apr-16,66.4889992,2927.268102,2948.704339
22-Apr-16,66.66000067,2931.903878,2927.271929
25-Apr-16,66.6850006,2906.646334,2918.617276
26-Apr-16,66.40399901,2900.024357,2915.511395
27-Apr-16,66.36199873,2980.562481,2934.194813
28-Apr-16,66.40100069,3032.827645,2954.977956
29-Apr-16,66.42499923,3076.558087,3008.505044
02-May-16,66.34599876,3022.667679,3037.814718
03-May-16,66.55799964,2949.752462,3029.853143
04-May-16,66.62700139,2939.726609,3012.411134
05-May-16,66.55799964,3008.505836,3005.475977
06-May-16,66.60000007,2957.707831,3024.099045
09-May-16,66.75199797,2977.082995,2998.599654
10-May-16,66.63100131,2932.897817,2976.739756
11-May-16,66.56099886,3006.052738,2998.186097
12-May-16,66.75699779,3096.854727,2989.116626
13-May-16,66.85500166,3090.012465,2994.675467
16-May-16,66.84399934,3168.32017,3013.445996
17-May-16,66.82500183,3212.958326,3001.623879
18-May-16,67.13999918,3255.001627,3001.281547
19-May-16,67.43599902,3210.43646,2974.375753
20-May-16,67.4080019,3294.556548,2978.096103
23-May-16,67.40900156,3243.880801,2967.130132
24-May-16,67.63000194,3283.762436,2951.576437
25-May-16,67.2729982,3322.875799,2903.263268
26-May-16,66.92699931,3346.270779,2897.257456
27-May-16,67.03099802,3298.686067,2871.838465
30-May-16,67.17099997,3338.470379,2859.307762
31-May-16,67.20899848,3345.526213,2878.799656
01-Jun-16,67.43399813,3283.30123,2899.029695
02-Jun-16,67.26800225,3292.841806,2893.049737
03-Jun-16,67.0000006,3286.011315,2920.441337
06-Jun-16,66.79000108,3312.244831,2943.340692
07-Jun-16,66.65800113,3342.177584,2931.820514
08-Jun-16,66.49999993,3394.15096,2957.013889
09-Jun-16,66.75300055,3393.021172,2977.360153
10-Jun-16,66.95199823,3328.116206,2996.55097
13-Jun-16,67.18699862,3271.693364,3036.661616
14-Jun-16,67.29199774,3255.365394,3044.297574
15-Jun-16,67.07900129,3233.522599,3042.324823
16-Jun-16,67.31499987,3162.843079,3097.423254
17-Jun-16,67.07399811,3171.20116,3047.229002
20-Jun-16,67.55099932,3315.674084,3052.885129
21-Jun-16,67.62400162,3350.530829,3041.408781
22-Jun-16,67.44899861,3371.986743,3015.326907
23-Jun-16,67.27899976,3351.214402,2999.544069
24-Jun-16,67.88499874,3261.986622,3153.877693
27-Jun-16,67.91399779,3202.340067,3160.056881
28-Jun-16,67.71499868,3224.757616,3129.616184
29-Jun-16,67.42199983,3299.586321,3135.43512
30-Jun-16,67.50399978,3319.562287,3121.761173
01-Jul-16,67.19000062,3264.377474,3151.164513
04-Jul-16,67.26499779,3303.380649,3180.176055
05-Jul-16,67.43399813,3203.858325,3177.932437
06-Jul-16,67.41100096,3154.267147,3222.957773
07-Jul-16,67.49500132,3172.985348,3198.198774
08-Jul-16,67.13899847,3064.731005,3168.457373
11-Jul-16,67.13799779,3035.085169,3170.265446
12-Jul-16,66.97500171,3083.017239,3137.688026
13-Jul-16,67.01599873,3071.893024,3124.921877
14-Jul-16,66.8429985,3042.70089,3095.36191
15-Jul-16,67.14099993,3072.061717,3099.958151
18-Jul-16,67.13700165,3059.969549,3101.592668
19-Jul-16,67.20399848,3051.623625,3106.159203
20-Jul-16,67.16300125,3073.290677,3090.215759
21-Jul-16,67.15300214,3073.907634,3086.372124
22-Jul-16,67.15399876,2999.887958,3090.779278
25-Jul-16,67.41200071,2956.051118,3082.148504
26-Jul-16,67.32099986,2905.686197,3090.932132
27-Jul-16,67.07200065,2875.029535,3092.624092
28-Jul-16,67.01400023,2812.993,3126.573057
29-Jul-16,66.65500204,2760.595093,3132.871339
01-Aug-16,66.76399968,2744.45917,3151.432641
02-Aug-16,66.68199908,2693.466011,3170.969143
03-Aug-16,66.76699966,2692.12617,3181.70393
04-Aug-16,66.84000061,2759.752239,3172.347283
05-Aug-16,66.84200215,2790.107023,3150.290929
08-Aug-16,66.81000084,2857.148506,3113.35411
09-Aug-16,66.77399919,2882.96295,3117.275003
10-Aug-16,66.76499816,2845.546347,3146.088625
11-Aug-16,66.75000182,2836.97088,3137.520668
12-Aug-16,66.90799936,2940.281313,3133.283619
16-Aug-16,66.87000051,3077.238598,3142.341799
17-Aug-16,66.89300137,3108.707221,3136.428361
18-Aug-16,66.82999918,3181.034299,3145.930267
19-Aug-16,67.13700165,3253.684469,3142.282554
22-Aug-16,67.20199778,3236.915253,3130.096188
23-Aug-16,67.12199994,3190.824925,3136.172615
24-Aug-16,67.16699811,3175.398024,3120.61164
25-Aug-16,67.01599873,3153.983373,3096.943626
26-Aug-16,67.13600102,3195.202672,3108.061067
29-Aug-16,67.11299943,3163.293467,3099.218377
30-Aug-16,67.14399782,3157.192217,3094.40408
31-Aug-16,66.97300117,3062.756367,3077.245004
01-Sep-16,66.80099902,2969.707996,3073.745297
02-Sep-16,66.79500213,2941.183762,3087.229674
05-Sep-16,66.46999966,3007.720125,3096.934035
06-Sep-16,66.279998,2973.379049,3111.571624
07-Sep-16,66.4780021,3000.435533,3135.572759
08-Sep-16,66.63100131,3107.423967,3130.203964
09-Sep-16,66.89500161,3120.435439,3121.85863
12-Sep-16,66.73800069,3052.35503,3110.565034
13-Sep-16,67.13999918,3032.448228,3110.458606
14-Sep-16,66.79800044,2982.109183,3105.320034
15-Sep-16,66.85999904,2939.213137,3098.747796
16-Sep-16,67.07500139,2904.470387,3086.838953
19-Sep-16,66.9799991,2944.304847,3092.604963
20-Sep-16,66.98500172,2947.092127,3095.227778
21-Sep-16,66.74400072,3036.989932,3111.629716
22-Sep-16,66.63299923,3090.754879,3127.795467
23-Sep-16,66.70700217,3057.579135,3128.656617
26-Sep-16,66.61299879,3034.315629,3130.223561
27-Sep-16,66.42499923,3005.208887,3112.142959
28-Sep-16,66.34900092,3018.27342,3097.250571
29-Sep-16,66.81200058,3170.813083,3109.878217
30-Sep-16,66.55600178,3191.340202,3112.259189
03-Oct-16,66.54600102,3227.441849,3090.760172
04-Oct-16,66.60900103,3248.579678,3047.944162
05-Oct-16,66.57200128,3308.034029,2997.835563
06-Oct-16,66.69700046,3341.145458,2976.597987
07-Oct-16,66.60200056,3354.130998,2963.586414
10-Oct-16,66.49200105,3364.776532,2971.512113
11-Oct-16,66.83400118,3402.427447,2970.699986
12-Oct-16,66.81200058,3369.187171,2967.103721
13-Oct-16,66.79399829,3351.486101,2979.498074
14-Oct-16,66.71699797,3377.317964,2963.120996
17-Oct-16,66.78900186,3344.422507,2967.279806
18-Oct-16,66.73299927,3352.238906,2977.067648
19-Oct-16,66.64499816,3433.800514,2988.848606
20-Oct-16,66.82999918,3422.794632,2996.102071
21-Oct-16,66.92600046,3399.621756,2990.260721
24-Oct-16,66.84500021,3377.879307,2981.194624
25-Oct-16,66.80600172,3378.055576,2986.304806
26-Oct-16,66.86299872,3314.625711,2991.27147
27-Oct-16,66.88099797,3323.157023,2990.117661
28-Oct-16,66.77799895,3307.779583,2992.273949
01-Nov-16,66.69599957,3138.772057,3017.811121
02-Nov-16,66.76199835,3057.371576,3049.412683
03-Nov-16,66.66800003,3030.880892,3040.631965
04-Nov-16,66.79600154,2967.204595,3052.02792
07-Nov-16,66.7449986,2984.868446,3018.813244
08-Nov-16,66.24600015,2997.595826,3004.22093
09-Nov-16,66.51499917,2984.679158,3060.340738
10-Nov-16,66.86500163,3012.911534,2999.814012
11-Nov-16,67.56500192,2972.235684,2966.364394
14-Nov-16,67.7850017,2910.467451,2938.998154
15-Nov-16,67.78599879,3038.215894,2931.382205
16-Nov-16,67.99899824,3112.204784,2937.38379
17-Nov-16,68.02299994,3123.493994,2928.935244
18-Nov-16,68.19099917,3098.757264,2890.925385
21-Nov-16,68.22800079,3252.377958,2907.838952
22-Nov-16,68.39600026,3308.369747,2916.242596
23-Nov-16,68.78399864,3305.979969,2895.41193
24-Nov-16,68.76099832,3311.345176,2870.741972
25-Nov-16,68.51900018,3241.501429,2853.579959
28-Nov-16,68.57900126,3205.378476,2874.92633
29-Nov-16,68.6149987,3162.252365,2863.778641
30-Nov-16,68.59800226,3293.194843,2846.610399
01-Dec-16,68.23599912,3452.339338,2806.001476
02-Dec-16,68.03100118,3481.008549,2808.704738
05-Dec-16,68.02499892,3543.361374,2796.764703
06-Dec-16,67.74199864,3466.691809,2793.163453
07-Dec-16,67.43800003,3425.900251,2791.097515
08-Dec-16,67.54599849,3391.928896,2783.236013
09-Dec-16,67.47000048,3470.12741,2767.760024
12-Dec-16,67.43100156,3611.36541,2754.441537
13-Dec-16,67.41100096,3576.45522,2755.428194
14-Dec-16,67.47499916,3533.808768,2761.302009
15-Dec-16,67.8570006,3452.062885,2709.5131
16-Dec-16,67.85500227,3483.55398,2711.57027
19-Dec-16,67.84399978,3549.602948,2722.23659
20-Dec-16,67.91700054,3639.995605,2710.071166
21-Dec-16,67.83699963,3627.931708,2709.212134
22-Dec-16,67.84799985,3589.518741,2695.781103
23-Dec-16,67.83699963,3584.682837,2696.050017
26-Dec-16,67.76000139,3612.205362,2696.988004
27-Dec-16,67.97799851,3647.746035,2721.673503
28-Dec-16,68.23300069,3693.73265,2727.709161
29-Dec-16,67.93499952,3673.854214,2744.387727
30-Dec-16,67.9549983,3659.877163,2754.198776
02-Jan-17,68.14499975,3677.449128,2752.333979
03-Jan-17,68.2600007,3697.97925,2760.829353
04-Jan-17,67.88599877,3594.170583,2772.271738
05-Jan-17,67.74299905,3631.346528,2788.210331
06-Jan-17,68.11500046,3673.900144,2788.591315
09-Jan-17,68.09999913,3618.817166,2794.271743
10-Jan-17,68.32699908,3546.354702,2811.681976
11-Jan-17,68.31200223,3533.773109,2821.423634
12-Jan-17,68.14100172,3601.894497,2842.637285
13-Jan-17,68.17999902,3598.182095,2834.169886
16-Jan-17,68.10299979,3573.186495,2853.922002
17-Jan-17,67.86200153,3600.722178,2870.049881
18-Jan-17,68.21999968,3540.336989,2875.290045
19-Jan-17,68.09999913,3529.386509,2856.35124
20-Jan-17,68.07500231,3620.082078,2861.467761
23-Jan-17,68.05100096,3606.641817,2878.874245
24-Jan-17,68.13799771,3633.169759,2874.504867
25-Jan-17,67.98799985,3618.146796,2849.790398
27-Jan-17,68.10499884,3644.434813,2819.625723
01-Feb-17,67.41500013,3594.08462,2880.441514
02-Feb-17,67.21000128,3630.983776,2893.845081
03-Feb-17,67.18400139,3621.118743,2884.745753
06-Feb-17,67.19499854,3610.686234,2907.238734
07-Feb-17,67.34999976,3542.224869,2927.871876
08-Feb-17,67.05000046,3493.961457,2933.635302
09-Feb-17,66.76499816,3538.382291,2923.77998
10-Feb-17,66.85400049,3588.652853,2903.465577
13-Feb-17,66.97500171,3576.281771,2907.162667
14-Feb-17,66.83500176,3567.753693,2907.517678
15-Feb-17,66.87500013,3552.064725,2901.755272
16-Feb-17,67.08000021,3568.91201,2931.193171
17-Feb-17,67.08000021,3576.572525,2938.005153
20-Feb-17,66.90500012,3627.30339,2925.148378
21-Feb-17,66.98500172,3662.97902,2919.111422
22-Feb-17,66.94999906,3621.877096,2925.38798
23-Feb-17,66.68999927,3641.367688,2935.236932
24-Feb-17,66.64499816,3613.060568,2959.718235
27-Feb-17,66.69999888,3634.601844,2964.060763
28-Feb-17,66.72500211,3592.484982,2956.541792
01-Mar-17,66.86500163,3622.865835,2937.789372
02-Mar-17,66.78500078,3560.20501,2929.304173
03-Mar-17,66.78000123,3541.733497,2906.520488
06-Mar-17,66.67500104,3551.590376,2906.841542
07-Mar-17,66.62499939,3563.942161,2884.795684
08-Mar-17,66.76499816,3496.306269,2867.342404
09-Mar-17,66.68999927,3318.698555,2850.107164
10-Mar-17,66.55500069,3291.315258,2833.61575
13-Mar-17,66.180001,3206.184223,2826.447636
14-Mar-17,65.77499886,3160.424245,2815.949538
15-Mar-17,65.63000142,3190.264235,2797.327992
16-Mar-17,65.38499864,3209.905278,2843.809453
